date,time,open,close,high,low,volume
2020-09-09,05:30:00,1350.0,1348.9,1358.7,1321.15,1900528
2020-09-10,05:30:00,1360.0,1370.85,1383.95,1350.15,668786
2020-09-11,05:30:00,1369.5,1370.55,1376.0,1351.0,445384
2020-09-14,05:30:00,1360.0,1367.85,1388.0,1350.0,861596
2020-09-15,05:30:00,1375.0,1369.8,1388.0,1361.15,298472
2020-09-16,05:30:00,1376.0,1367.4,1377.0,1364.0,232143
2020-09-17,05:30:00,1361.0,1370.7,1374.1,1359.0,330915
2020-09-18,05:30:00,1376.0,1405.35,1420.0,1370.7,753209
2020-09-21,05:30:00,1425.0,1397.35,1430.0,1380.0,947382
2020-09-22,05:30:00,1390.0,1355.7,1390.0,1330.1,569167
2020-09-23,05:30:00,1365.0,1372.85,1380.0,1353.25,274748
2020-09-24,05:30:00,1352.85,1338.85,1366.0,1332.0,399473
2020-09-25,05:30:00,1360.0,1352.05,1360.0,1340.0,222705
2020-09-28,05:30:00,1360.0,1367.05,1372.5,1355.0,236418
2020-09-29,05:30:00,1370.0,1383.35,1395.0,1364.0,437120
2020-09-30,05:30:00,1383.4,1384.0,1419.5,1368.7,637109
2020-10-01,05:30:00,1410.0,1379.3,1410.0,1370.0,297196
2020-10-05,05:30:00,1390.0,1376.05,1391.05,1356.25,406746
2020-10-06,05:30:00,1363.0,1363.85,1373.0,1360.0,203011
2020-10-07,05:30:00,1370.0,1356.9,1376.5,1349.0,393986
2020-10-08,05:30:00,1368.0,1355.6,1369.95,1350.0,268484
2020-10-09,05:30:00,1366.5,1351.0,1366.5,1348.5,151208
2020-10-12,05:30:00,1355.0,1334.65,1369.8,1330.0,443935
2020-10-13,05:30:00,1338.05,1336.5,1348.0,1333.35,163871
2020-10-14,05:30:00,1350.0,1338.05,1357.6,1331.0,346035
2020-10-15,05:30:00,1340.0,1329.5,1347.7,1326.0,234817
2020-10-16,05:30:00,1329.0,1328.1,1340.0,1325.0,141609
2020-10-19,05:30:00,1330.0,1326.9,1335.0,1325.3,119596
2020-10-20,05:30:00,1326.0,1332.2,1342.7,1326.0,212949
2020-10-21,05:30:00,1336.55,1331.75,1343.9,1328.0,156434
2020-10-22,05:30:00,1333.0,1327.75,1337.7,1326.35,90626
2020-10-23,05:30:00,1329.0,1327.95,1332.85,1327.0,84503
2020-10-26,05:30:00,1329.0,1320.65,1331.0,1318.0,159576
2020-10-27,05:30:00,1326.0,1326.0,1328.9,1297.05,214182
2020-10-28,05:30:00,1324.0,1333.35,1339.0,1310.0,185018
2020-10-29,05:30:00,1310.0,1330.6,1340.0,1310.0,165784
2020-10-30,05:30:00,1322.8,1315.2,1329.45,1310.0,116348
2020-11-02,05:30:00,1320.2,1302.25,1321.75,1300.0,123930
2020-11-03,05:30:00,1303.0,1301.45,1311.5,1300.0,107309
2020-11-04,05:30:00,1292.85,1300.55,1308.8,1290.05,128498
2020-11-05,05:30:00,1301.1,1310.4,1316.55,1301.1,159682
2020-11-06,05:30:00,1318.0,1311.2,1318.4,1308.3,108108
2020-11-09,05:30:00,1318.0,1312.85,1322.55,1311.0,134488
2020-11-10,05:30:00,1325.0,1374.35,1416.85,1322.05,1889923
2020-11-11,05:30:00,1398.0,1371.25,1407.0,1343.0,611896
2020-11-12,05:30:00,1375.0,1381.45,1400.0,1355.1,494237
2020-11-13,05:30:00,1369.0,1389.25,1403.0,1365.9,619636
2020-11-14,05:30:00,1405.0,1398.65,1405.0,1389.25,149588
2020-11-17,05:30:00,1398.65,1380.3,1407.0,1372.6,418712
2020-11-18,05:30:00,1365.0,1365.3,1370.95,1352.1,311995
2020-11-19,05:30:00,1364.0,1376.05,1380.0,1360.0,227210
2020-11-20,05:30:00,1390.0,1381.15,1399.0,1361.65,503583
2020-11-23,05:30:00,1368.0,1362.35,1374.0,1357.0,322526
2020-11-24,05:30:00,1370.2,1362.3,1379.2,1357.0,224459
2020-11-25,05:30:00,1370.0,1353.9,1370.0,1353.0,189928
2020-11-26,05:30:00,1356.0,1351.35,1359.95,1346.3,122926
2020-11-27,05:30:00,1346.3,1353.45,1366.75,1346.3,198922
2020-12-01,05:30:00,1358.0,1358.1,1368.0,1353.5,189344
2020-12-02,05:30:00,1368.0,1349.9,1368.8,1346.55,186840
2020-12-03,05:30:00,1364.0,1378.05,1396.05,1350.0,631548
2020-12-04,05:30:00,1382.0,1570.6,1597.0,1382.0,10432630
2020-12-07,05:30:00,1585.0,1691.55,1720.0,1583.0,7808616
2020-12-08,05:30:00,1706.8,1648.5,1800.0,1596.6,6108179
2020-12-09,05:30:00,1666.6,1617.75,1701.25,1601.0,3686437
2020-12-10,05:30:00,1405.0,1452.75,1524.65,1405.0,17186934
2020-12-11,05:30:00,1403.95,1421.0,1448.8,1400.0,9772926
2020-12-14,05:30:00,1424.9,1479.0,1508.7,1422.05,9444600
2020-12-15,05:30:00,1494.9,1441.0,1498.0,1431.1,5273914
2020-12-16,05:30:00,1453.8,1423.4,1455.9,1420.0,3560008
2020-12-17,05:30:00,1431.0,1424.85,1441.1,1420.25,1327523
2020-12-18,05:30:00,1430.0,1424.5,1456.5,1410.0,3269771
2020-12-21,05:30:00,1423.8,1373.5,1437.5,1359.0,2556756
2020-12-22,05:30:00,1374.0,1399.05,1408.95,1336.45,2680817
2020-12-23,05:30:00,1404.4,1411.55,1423.5,1379.05,1632777
2020-12-24,05:30:00,1421.0,1408.95,1428.4,1403.2,1242982
2020-12-28,05:30:00,1420.0,1417.95,1438.3,1411.1,1324341
2020-12-29,05:30:00,1426.0,1410.8,1427.9,1408.0,928547
2020-12-30,05:30:00,1420.0,1434.95,1443.0,1408.0,1637204
2020-12-31,05:30:00,1445.0,1437.8,1465.0,1430.75,2644030
2021-01-01,05:30:00,1447.0,1445.0,1459.0,1440.1,1164188
2021-01-04,05:30:00,1462.0,1451.05,1468.0,1445.0,1052506
2021-01-05,05:30:00,1443.7,1456.85,1463.0,1431.45,1238935
2021-01-06,05:30:00,1461.95,1483.45,1514.9,1449.0,4244765
2021-01-07,05:30:00,1494.0,1489.45,1509.9,1480.0,1769008
2021-01-08,05:30:00,1504.0,1471.5,1509.8,1460.75,1568909
2021-01-11,05:30:00,1482.35,1460.7,1484.0,1452.0,1029958
2021-01-12,05:30:00,1460.7,1480.45,1497.0,1454.0,1804821
2021-01-13,05:30:00,1492.0,1461.15,1493.55,1442.2,1180696
2021-01-14,05:30:00,1468.45,1463.1,1482.15,1452.45,1123619
2021-01-15,05:30:00,1468.45,1441.2,1470.0,1437.0,996644
2021-01-18,05:30:00,1448.45,1423.35,1461.85,1417.7,1265872
2021-01-19,05:30:00,1438.0,1443.5,1447.85,1432.8,577500
2021-01-20,05:30:00,1450.0,1452.7,1458.4,1437.0,574115
2021-01-21,05:30:00,1460.0,1454.5,1483.15,1450.0,1208440
2021-01-22,05:30:00,1454.0,1432.45,1462.45,1423.1,882007
2021-01-25,05:30:00,1433.0,1426.25,1445.45,1417.05,699480
2021-01-27,05:30:00,1432.75,1438.25,1443.65,1422.25,823107
2021-01-28,05:30:00,1436.5,1457.05,1498.7,1433.0,2827956
2021-01-29,05:30:00,1468.0,1456.1,1478.95,1445.2,1400736
2021-02-01,05:30:00,1469.75,1459.9,1497.7,1451.15,2441698
2021-02-02,05:30:00,1468.0,1470.5,1478.0,1461.35,1063176
2021-02-03,05:30:00,1477.4,1469.35,1498.0,1462.15,1862533
2021-02-04,05:30:00,1474.8,1518.9,1540.0,1464.25,2205120
2021-02-05,05:30:00,1549.7,1555.0,1568.0,1515.0,3005886
2021-02-08,05:30:00,1569.8,1618.7,1629.0,1562.0,4852761
2021-02-09,05:30:00,1624.0,1641.75,1688.9,1592.0,5315247
2021-02-10,05:30:00,1648.4,1618.4,1674.0,1611.1,3051054
2021-02-11,05:30:00,1626.0,1619.0,1636.95,1611.75,1120998
2021-02-12,05:30:00,1627.45,1731.9,1767.7,1626.0,7299539
2021-02-15,05:30:00,1734.0,1713.1,1745.0,1682.0,2921000
2021-02-16,05:30:00,1718.0,1674.15,1733.75,1662.0,1776370
2021-02-17,05:30:00,1672.0,1698.65,1730.0,1657.0,2092090
2021-02-18,05:30:00,1686.05,1701.2,1726.0,1686.05,936104
2021-02-19,05:30:00,1702.95,1675.4,1715.25,1655.95,997364
2021-02-22,05:30:00,1675.0,1615.85,1675.0,1598.0,1717799
2021-02-23,05:30:00,1614.95,1632.9,1642.1,1592.8,937489
2021-02-24,05:30:00,1638.0,1675.45,1697.0,1630.1,647085
2021-02-25,05:30:00,1685.0,1726.95,1739.75,1670.0,1907444
2021-02-26,05:30:00,1695.0,1759.65,1809.95,1680.0,5127721
2021-03-01,05:30:00,1787.95,1938.45,1974.85,1775.55,6616257
2021-03-02,05:30:00,1970.5,1897.65,1988.0,1870.05,5559277
2021-03-03,05:30:00,1899.0,1886.1,1930.0,1880.0,1831971
2021-03-04,05:30:00,1885.0,1961.1,2015.8,1870.0,9592188
2021-03-05,05:30:00,1969.95,1940.85,1998.4,1896.0,3595828
2021-03-08,05:30:00,1960.0,2015.45,2027.0,1926.6,4183381
2021-03-09,05:30:00,2050.0,2026.7,2073.0,2015.0,4782464
2021-03-10,05:30:00,2045.0,2018.5,2047.8,2007.0,1695813
2021-03-12,05:30:00,2030.0,1987.35,2063.7,1965.0,2502959
2021-03-15,05:30:00,2006.45,1947.05,2006.45,1915.0,2109912
2021-03-16,05:30:00,1928.6,1904.05,1939.7,1890.0,2205067
2021-03-17,05:30:00,1905.0,1824.0,1919.45,1801.0,2363751
2021-03-18,05:30:00,1838.0,1766.65,1860.0,1740.0,3667455
2021-03-19,05:30:00,1750.0,1855.45,1875.0,1703.0,4907008
2021-03-22,05:30:00,1857.0,1838.05,1879.0,1804.15,2250190
2021-03-23,05:30:00,1848.5,1842.15,1861.0,1831.0,1320265
2021-03-24,05:30:00,1829.7,1760.55,1836.8,1750.4,2089103
2021-03-25,05:30:00,1769.0,1721.85,1769.0,1705.0,2167692
2021-03-26,05:30:00,1750.0,1747.4,1770.0,1718.3,1776133
2021-03-30,05:30:00,1740.4,1755.25,1774.0,1740.4,1473085
2021-03-31,05:30:00,1758.7,1757.0,1774.95,1735.0,1086001
2021-04-01,05:30:00,1760.0,1751.75,1779.45,1750.0,944947
2021-04-05,05:30:00,1726.0,1702.65,1737.95,1677.4,1622830
2021-04-06,05:30:00,1702.65,1688.55,1719.0,1683.0,1011705
2021-04-07,05:30:00,1684.2,1709.0,1721.4,1673.0,1467086
2021-04-08,05:30:00,1698.8,1726.4,1739.2,1680.0,1940435
2021-04-09,05:30:00,1730.0,1730.9,1753.7,1715.0,1250823
2021-04-12,05:30:00,1680.2,1582.0,1697.7,1573.45,2807259
2021-04-13,05:30:00,1582.05,1611.65,1623.0,1582.05,1226264
2021-04-15,05:30:00,1592.1,1608.1,1632.9,1589.0,1158163
2021-04-16,05:30:00,1611.0,1627.45,1638.1,1606.0,968083
2021-04-19,05:30:00,1550.0,1612.7,1620.0,1550.0,1193238
2021-04-20,05:30:00,1616.0,1640.05,1648.95,1616.0,1143229
2021-04-22,05:30:00,1614.0,1673.05,1681.0,1614.0,988502
2021-04-23,05:30:00,1670.0,1712.0,1717.9,1661.0,1629474
2021-04-26,05:30:00,1721.9,1730.85,1739.25,1718.0,791759
2021-04-27,05:30:00,1730.0,1793.2,1802.6,1714.65,2259767
2021-04-28,05:30:00,1800.0,1795.85,1818.0,1775.0,1538029
2021-04-29,05:30:00,1801.0,1792.55,1818.0,1765.3,1212095
2021-04-30,05:30:00,1784.9,1791.4,1809.15,1757.75,756655
2021-05-03,05:30:00,1761.0,1765.55,1781.95,1753.0,773316
2021-05-04,05:30:00,1785.0,1770.2,1789.05,1761.0,586043
2021-05-05,05:30:00,1775.0,1723.65,1782.95,1715.0,1215718
2021-05-06,05:30:00,1735.5,1725.2,1744.0,1716.05,477236
2021-05-07,05:30:00,1700.0,1693.4,1709.85,1681.5,831099
2021-05-10,05:30:00,1700.0,1748.65,1757.5,1690.95,1028911
2021-05-11,05:30:00,1725.0,1792.3,1800.4,1723.05,1297267
2021-05-12,05:30:00,1799.0,1746.6,1829.0,1732.8,1627887
2021-05-14,05:30:00,1760.0,1747.65,1774.0,1730.0,1171451
2021-05-17,05:30:00,1763.15,1762.1,1781.0,1743.0,774812
2021-05-18,05:30:00,1780.0,1835.05,1842.75,1770.25,1905360
2021-05-19,05:30:00,1844.0,1858.1,1884.95,1840.0,2098770
2021-05-20,05:30:00,1862.0,1855.65,1870.4,1822.8,959830
2021-05-21,05:30:00,1860.0,1862.0,1894.7,1850.05,1200153
2021-05-24,05:30:00,1870.0,1884.5,1902.8,1867.4,1271177
2021-05-25,05:30:00,1901.5,1907.95,1914.0,1890.0,989516
2021-05-26,05:30:00,1920.0,1894.05,1930.05,1888.0,922757
2021-05-27,05:30:00,1900.0,1928.35,1941.15,1876.0,2284298
2021-05-28,05:30:00,1928.0,1896.25,1928.35,1888.85,671277
2021-05-31,05:30:00,1909.85,1903.2,1919.0,1897.15,497158
2021-06-01,05:30:00,1911.8,1894.6,1922.65,1888.0,419742
2021-06-02,05:30:00,1899.95,1917.95,1927.5,1895.25,576755
2021-06-03,05:30:00,1928.0,1921.8,1948.6,1916.0,549947
2021-06-04,05:30:00,1937.0,1921.7,1937.0,1913.55,359621
2021-06-07,05:30:00,1939.0,2094.8,2113.85,1926.7,6144067
2021-06-08,05:30:00,2130.95,2144.85,2184.0,2122.0,6490285
2021-06-09,05:30:00,2160.0,2071.2,2163.0,2060.0,2335741
2021-06-10,05:30:00,2093.5,2106.35,2121.0,2051.65,1795502
2021-06-11,05:30:00,2115.0,2093.75,2132.0,2081.0,844059
2021-06-14,05:30:00,2089.95,2064.4,2092.0,2025.0,1002396
2021-06-15,05:30:00,2071.0,2097.95,2139.85,2062.0,1912498
2021-06-16,05:30:00,2109.45,2089.95,2121.95,2075.3,856943
2021-06-17,05:30:00,2070.0,2050.4,2088.95,2036.4,754284
2021-06-18,05:30:00,2070.25,2011.7,2070.25,1978.65,1304337
2021-06-21,05:30:00,2000.0,2076.85,2093.75,1981.15,1693260
2021-06-22,05:30:00,2100.0,2083.0,2128.35,2075.0,1285749
2021-06-23,05:30:00,2102.0,2078.25,2111.4,2072.0,809624
2021-06-24,05:30:00,2098.0,2072.95,2098.0,2066.0,541514
2021-06-25,05:30:00,2084.35,2068.85,2088.5,2053.1,475822
2021-06-28,05:30:00,2084.0,2077.75,2112.45,2068.4,707732
2021-06-29,05:30:00,2092.0,2081.85,2126.9,2065.05,1673477
2021-06-30,05:30:00,2060.55,2033.85,2103.75,2021.45,2562914
2021-07-01,05:30:00,2047.8,2034.8,2058.85,2030.3,750998
2021-07-02,05:30:00,2048.0,2060.55,2068.95,2037.0,522059
